Symbol,Market Cap,Current PE Ratio (TTM),EV to EBITDA (TTM),Current Price to Book Value,Dividend Yield,Dividend Payout Ratio FY,Gross Profit Margin (TTM)(%),Net Profit Margin (TTM)(%),Return on Assets (TTM),Return on Equity (TTM),Asset Turnover (TTM),Inventory Turnover (TTM),Current Ratio (Quarter),Quick Ratio (Quarter),Debt to Equity Ratio (Quarter)
SBAT,4.75 B,-0.07,-9.08,0.03,-,-,0.1589,-2.0807,-0.1136,-0.4952,0.05,0.14,0.51,0.07,2.29
MKNT,5.50 B,-,153.28,-0.61,-,-,-,-,-,-,-,-,-,-,-
DEAL,6.88 B,-0.38,-33.82,-0.12,-,-,0.0585,-0.3097,-0.1191,0.3155,0.38,13.14,0.6,0.56,-2.63
KAYU,8.58 B,10.64,-12.01,0.11,-,-,0.0157,0.1198,0.0082,0.0099,0.07,0.19,5.58,3.49,0.1
TOYS,11.48 B,-0.84,-72.27,0.05,-,-,0.1153,-0.2254,-0.0382,-0.055,0.17,0.52,3.24,2.16,0.35
ARTI,15.68 B,4.24,1.19,-0.07,-,-,0.1495,0.1584,0.0069,-0.0173,0.04,-,-,-,-0.03
SIMA,22.13 B,-0.7,-143.36,-11.04,-,-,1.0715,-8.9944,-0.1223,15.8368,0.02,-,0.02,0.02,-130.44
UNIT,23.83 B,69.74,6.19,0.18,-,-,0.2679,0.0032,0.0009,0.0025,0.3,1.57,1.04,0.57,0.84
LMSH,24.58 B,-5.11,-0.08,0.27,-,0.1663,0.0545,-0.0506,-0.0444,-0.0525,0.88,4.15,6.48,3.87,-
INDX,24.96 B,-2.89,-4.81,1.08,-,-,-3.705,-17.1315,-0.1873,-0.3743,0.01,-,0.08,0.08,-
BMBL,25.75 B,-,-,0.38,-,-,-,-,-,-,-,-,4.4,3.41,0.01
PLAN,26.90 B,-,-,0.5,-,-,-,-,-,-,-,-,0.07,0.05,0.42
FIMP,27.60 B,-,-,1.3,-,-,-,-,-,-,-,-,5.32,2.1,-
CNTX,28.40 B,-0.2,-4.7,-0.05,-,-,-0.1395,-0.3673,-0.3072,0.246,0.85,4.82,0.22,0.13,-0.54
HADE,29.68 B,-10.64,-129.7,6.97,-,-,0.2135,-0.6426,-0.2826,-0.6552,0.43,-,2.69,2.69,-
SKYB,29.84 B,-114.99,-,0.62,-,-,-,-,-0.0099,-0.0054,0.05,-,0.07,0.03,-
WIDI,32.00 B,-,-,0.69,-,-,-,-,-,-,-,-,16.94,16.94,0.02
BIKA,32.58 B,-0.66,329.79,-0.19,-,-,0.5416,-0.197,-0.0166,0.287,0.08,0.05,1.13,0.08,-6.8
TOPS,33.33 B,-0.12,-12.72,0.08,-,-,-0.0503,-2.6059,-0.1757,-0.6857,0.07,10.78,2.32,2.3,-
SOUL,34.64 B,-,-,1,-,1.3758,-,-,-,-,-,-,8.96,8.9,0.06
AEGS,37.22 B,-,-,0.54,-,-,-,-,-,-,-,-,8.66,4.93,-
LMAS,39.39 B,-0.23,36.88,-0.35,-,-,0.4318,-4.4631,-3.5671,1.5308,0.2,0.57,0.13,0.12,-1.93
ALTO,39.45 B,-0.93,-24.03,0.13,-,-,-0.0219,-0.3759,-0.0455,-0.1426,0.12,1.52,0.64,0.19,1.54
RICY,39.79 B,-0.13,17.71,0.17,-,0.1641,0.1501,-0.6678,-0.1732,-1.3051,0.26,0.67,3.52,1.28,5.51
KICI,44.16 B,-7.28,-22.82,0.4,-,-,0.166,-0.0687,-0.0283,-0.0546,0.41,0.56,7.2,0.77,0.16
CUAN,"71,948.10 B",31.29,13.61,12.4,0.0005,0.0129,0.1452,0.1009,0.049,0.3963,0.5,11.8,1.74,1.57,4.33
IMPC,"71,653.63 B",106.91,66.65,24,-,0.5518,0.3994,0.1486,0.1296,0.2245,0.86,2.13,2.85,1.5,0.17
ICBP,"69,971.45 B",7.65,6.1,1.28,0.0417,0.4118,0.3485,0.1197,0.0652,0.1675,0.55,6.12,4.22,3.59,0.87
HMSP,"69,790.85 B",10.34,5.7,2.29,0.0938,0.9908,0.1862,0.061,0.13,0.2218,2.14,4.47,1.96,0.9,0.01
BRMS,"68,339.91 B",77.56,39.44,3.17,-,-,0.5777,0.2078,0.0371,0.0409,0.19,4.73,3.18,2.92,0.2
ADRO,"63,775.63 B",7.7,5.12,0.77,0.1214,1.0494,0.3591,0.2543,0.0678,0.0995,0.28,10.03,4.32,4.1,0.22
ANTM,"60,797.83 B",7.17,5.27,1.57,0.06,1,0.1784,0.0966,0.134,0.2184,1.52,5.87,1.98,0.97,0.14
UNVR,"60,086.25 B",7.03,10.35,9.16,0.1276,0.7464,0.4691,0.2656,0.4269,1.3025,1.61,7.21,0.87,0.68,0.09
GOTO,"59,557.25 B",-92.43,40.8,1.86,-,-,0.5878,-0.0332,-0.0138,-0.0201,0.42,605.79,2.65,2.65,0.25
ADMR,"59,279.38 B",12.17,9.9,2.11,0.0349,0.4631,0.4208,0.282,0.0894,0.1737,0.34,6.17,2,1.76,0.58
MDKA,"59,224.62 B",-57.91,18.8,4.48,-,-,0.1142,-0.0328,-0.0107,-0.0773,0.33,4.01,1.25,0.87,2.35
AADI,"58,012.34 B",4.94,3.43,0.98,0.0622,0.6225,0.2446,0.1476,0.1194,0.1987,0.82,31.72,2.1,1.93,0.24
ISAT,"55,310.14 B",9.72,3.91,1.46,0.0647,0.6497,-,0.0978,0.0466,0.1505,0.48,-,0.56,0.56,1.45
INDF,"52,024.03 B",4.76,4.46,0.67,0.0473,0.2845,0.3295,0.0868,0.0482,0.1412,0.57,4.23,2.16,1.69,0.99
CPIN,"51,653.70 B",7.73,4.6,1.41,0.0571,0.523,0.1885,0.0916,0.1379,0.1821,1.55,5.24,3.82,2.26,0.17
SUPR,"49,882.87 B",39.81,28.62,6.03,-,-,0.7343,0.6579,0.1201,0.1514,0.18,83.15,0.27,0.26,0.18
AMRT,"49,621.78 B",14.13,4.97,2.68,0.0347,0.4499,0.2187,0.0272,0.0766,0.19,2.92,7.41,1.08,0.48,0.15
NCKL,"49,216.91 B",4.92,6.34,1.18,0.0389,0.3003,0.3056,0.3413,0.154,0.2394,0.46,3.21,2.08,1.12,0.22
BUMI,"48,273.60 B",33.32,22.13,1.74,-,2.6573,0.1879,0.0584,0.0191,0.0523,0.34,-,1.25,1.25,0.37
MBMA,"47,517.98 B",97.54,18.87,1.79,-,-,0.1161,0.0206,0.0078,0.0184,0.39,5.59,1.62,1.2,0.46
TCPI,"45,000.00 B",343.51,72.13,21.15,0.0006,0.2928,0.2396,0.0662,0.0326,0.0616,0.5,15.95,1.06,0.95,0.58
INCO,"44,688.69 B",27.51,10.14,0.93,0.0183,0.6148,0.1429,0.0944,0.0286,0.0339,0.31,4.26,2.13,1.46,-
EXCL,"44,407.66 B",-8.03,5.69,1.52,0.1003,2.4483,-,-0.1211,-0.0494,-0.1897,0.4,-,0.4,0.4,2.1
MEGA,"42,267.32 B",12.13,9.19,1.74,0.0478,0.6,0.5008,0.35,0.0258,0.1431,0.07,-,-,-,0.01
MTEL,"41,612.72 B",19.46,7.68,1.24,0.0509,1.0044,0.4995,0.2235,0.0353,0.0635,0.16,-,0.53,0.53,0.63
BELI,"37,049.13 B",-19.06,-36.56,4.14,-,-,0.1656,-0.0762,-0.1043,-0.217,1.4,6.92,1.22,0.83,0.4
BNGA,"36,959.04 B",5.41,3.45,0.63,0.11,0.5915,0.5542,0.2832,0.0186,0.1162,0.07,-,-,-,0.02
